Census year,Block ID,Property ID,Base property ID,Building address,CLUE small area,Business address,Number of patrons,x coordinate,y coordinate,Location
2008,57,101219,101219,100-116 Bourke Street MELBOURNE 3000,Melbourne (CBD),"Suite 12, Basement , 108 Bourke Street MELBOURNE 3000",350,144.9701,-37.8118,POINT (144.9701 -37.8118)
2008,57,106433,106433,18-24 Market Lane MELBOURNE 3000,Melbourne (CBD),"Floor 1, 18 Market Lane MELBOURNE 3000",396,144.9694,-37.8118,POINT (144.9694 -37.8118)
2008,58,101238,101238,2-8 Bourke Street MELBOURNE 3000,Melbourne (CBD),2-8 Bourke Street MELBOURNE 3000,300,144.9727,-37.8112,POINT (144.9727 -37.8112)
2008,58,103621,103621,174-192 Exhibition Street MELBOURNE 3000,Melbourne (CBD),"Part Ground , 174-192 Exhibition Street MELBOURNE 3000",100,144.9706,-37.8112,POINT (144.9706 -37.8112)
2008,58,105657,105657,21 Liverpool Street MELBOURNE 3000,Melbourne (CBD),21 Liverpool Street MELBOURNE 3000,164,144.9713,-37.8112,POINT (144.9713 -37.8112)
2008,58,105828,105828,19-25 Little Bourke Street MELBOURNE 3000,Melbourne (CBD),19 Little Bourke Street MELBOURNE 3000,350,144.9720,-37.8107,POINT (144.972 -37.8107)
2008,58,108986,108986,161 Spring Street MELBOURNE 3000,Melbourne (CBD),161 Spring Street MELBOURNE 3000,703,144.9724,-37.8110,POINT (144.9724 -37.811)
2008,61,105716,105716,597-603 Lonsdale Street MELBOURNE 3000,Melbourne (CBD),597-603 Lonsdale Street MELBOURNE 3000,675,144.9545,-37.8149,POINT (144.9545 -37.8149)
2008,61,105858,105858,590-592 Little Bourke Street MELBOURNE 3000,Melbourne (CBD),590-592 Little Bourke Street MELBOURNE 3000,700,144.9547,-37.8153,POINT (144.9547 -37.8153)
2008,62,105384,105384,204-208 King Street MELBOURNE 3000,Melbourne (CBD),204-208 King Street MELBOURNE 3000,390,144.9555,-37.8152,POINT (144.9555 -37.8152)
2008,64,104376,104376,14-20 Goldie Place MELBOURNE 3000,Melbourne (CBD),14-20 Goldie Place MELBOURNE 3000,200,144.9607,-37.8133,POINT (144.9607 -37.8133)
2008,64,104659,104659,67-73 Hardware Lane MELBOURNE 3000,Melbourne (CBD),"Gnd & Bmt , 71-73 Hardware Lane MELBOURNE 3000",119,144.9609,-37.8132,POINT (144.9609 -37.8132)
2008,64,104659,104659,67-73 Hardware Lane MELBOURNE 3000,Melbourne (CBD),"Basement 0, 67 Hardware Lane MELBOURNE 3000",143,144.9609,-37.8132,POINT (144.9609 -37.8132)
2008,64,515538,515538,4-6 Goldie Place MELBOURNE 3000,Melbourne (CBD),"Part Ground 0, 6 Goldie Place MELBOURNE 3000",120,144.9608,-37.8135,POINT (144.9608 -37.8135)
2008,65,105875,105875,318-322 Little Bourke Street MELBOURNE 3000,Melbourne (CBD),2-322 Little Bourke Street MELBOURNE 3000,50,144.9631,-37.8129,POINT (144.9631 -37.8129)
2008,65,105875,105875,318-322 Little Bourke Street MELBOURNE 3000,Melbourne (CBD),"Basement 0, 318 Little Bourke Street MELBOURNE 3000",55,144.9631,-37.8129,POINT (144.9631 -37.8129)
2008,66,105878,105878,242-244 Little Bourke Street MELBOURNE 3000,Melbourne (CBD),"Unit 1, Ground , 242 Little Bourke Street MELBOURNE 3000",209,144.9656,-37.8121,POINT (144.9656 -37.8121)
2008,66,108547,108547,199-203 Russell Street MELBOURNE 3000,Melbourne (CBD),199-203 Russell Street MELBOURNE 3000,300,144.9673,-37.8118,POINT (144.9673 -37.8118)
2008,66,109392,109392,248-258 Swanston Street MELBOURNE 3000,Melbourne (CBD),"Unit , Level 7, 252-258 Swanston Street MELBOURNE 3000",200,144.9653,-37.8120,POINT (144.9653 -37.812)
2008,66,109392,109392,248-258 Swanston Street MELBOURNE 3000,Melbourne (CBD),"Unit , Level 2, 252-258 Swanston Street MELBOURNE 3000",345,144.9653,-37.8120,POINT (144.9653 -37.812)
